T,TM,Tm,H,VV,V,VM,PM2.5
11,18,5,90,0.6,10,14.8,255.875
9.4,17,4,77,1.4,9.4,18.3,217.08333333333334
11.9,18,4,66,1.6,5,14.8,229.16666666666666
10.9,18,4,70,1.3,5.4,14.8,298.4583333333333
11.4,20,3,69,1.3,4.1,11.1,264.9166666666667
11.5,18,5,82,0.5,3.7,11.1,404.5
14,20,8,64,1.3,5.2,11.1,188.5
13.9,21,7,69,1.1,7.4,13,164.75
11.7,16,9,94,0.3,3.9,9.4,376.9166666666667
13.3,20,9,86,1.8,8.9,14.8,0.0
13.1,20,8,86,1.3,7.4,13,0.0
13.2,14,12,97,1.8,13,22.2,57.0
10.7,14,9,100,0.5,10.2,14.8,202.91666666666666
13,20,9,89,0.8,7.6,14.8,205.125
14.7,22,8,82,1.1,9.6,22.2,214.125
13.2,17,11,98,0.5,6.5,13,315.7916666666667
13.1,20,9,86,1,4.8,9.4,322.25
15.5,22,9,78,1.1,4.6,13,246.04166666666666
17.9,26,7,70,1.6,3.3,11.1,200.91666666666666
18.9,25,14,74,2.7,15.6,27.8,99.5
12.6,17,7,95,1.3,10.4,18.3,143.91666666666666
12.4,19,6,62,2.9,11.3,24.1,100.25
14.9,22,6,62,2.1,9.1,18.3,165.0
12.4,14,10,96,1.4,10.4,18.3,116.45833333333333
12.1,17,9,90,1.1,5.2,11.1,143.0
16.9,22,8,56,1.9,5.6,13,231.125
16.8,24,11,67,1.4,4.8,13,218.66666666666666
17.2,24,11,66,2.3,12.2,18.3,211.0
17.7,24,10,63,2.1,3.9,13,52.208333333333336
18.9,25,14,58,2.1,6.9,14.8,187.5
19.1,24,13,70,3.1,11.7,18.3,130.16666666666666
15.4,19,11,87,2.1,8.1,14.8,123.125
15.2,21,10,81,1.6,6.9,14.8,120.91666666666667
17.7,24,10,61,2.6,5.9,13,153.625
18.1,25,11,57,2.4,8.5,18.3,130.33333333333334
19.8,26,12,58,3.1,10.2,22.2,110.70833333333333
21.3,28,13,54,3.4,6.7,24.1,138.5
18.4,25,12,58,3.2,13,20.6,75.75
19.1,26,12,58,2.6,7.8,14.8,146.54166666666666
21.8,29,12,51,2.7,5.4,13,116.625
20.9,27,15,53,3.1,12.4,27.8,80.04166666666667
21.5,27,14,50,3.4,10.4,18.3,100.04166666666667
24,31,15,47,3.1,10.6,18.3,109.45833333333333
25.2,31,17,51,3.1,5,11.1,110.16666666666667
25.3,31,20,48,3.2,9.1,14.8,108.20833333333333
24.1,29,21,54,3.2,8.5,14.8,103.83333333333333
23.9,31,15,39,3.2,15,29.4,74.29166666666667
24.7,33,16,40,2.9,8,22.2,101.79166666666667
26.2,35,18,38,2.9,9.6,18.3,106.16666666666667
24.7,31,17,42,3.1,13,22.2,89.875
26.8,32,22,45,3.4,16.3,24.1,48.208333333333336
25.4,31,18,37,4,13.5,20.6,47.041666666666664
26.3,33,18,30,3.9,12.8,20.6,67.79166666666667
27.2,32,23,34,3.2,14.6,27.8,56.666666666666664
28.3,33,23,33,2.9,8.9,20.6,79.0
29.6,36,23,33,2.3,5,13,123.58333333333333
26,33,20,46,2.3,8.1,13,80.29166666666667
28.9,35,21,28,2.4,5.2,14.8,137.875
30,37,21,22,2.6,10.4,25.9,87.875
32.6,39,24,24,2.6,7.4,20.6,121.20833333333333
32.2,39,25,25,3.1,8.9,22.2,97.04166666666667
31.8,40,21,21,3.1,9.6,22.2,92.08333333333333
35.3,43,27,15,3.1,8.3,18.3,130.625
34.6,42,27,18,2.9,11.3,22.2,90.5
31.3,37,27,30,3.4,12.4,22.2,55.416666666666664
32.6,38,26,39,2.9,5.9,13,108.33333333333333
31.1,40,24,36,2.7,10.2,25.9,198.875
32.1,38,23,26,2.9,8,20.6,120.70833333333333
24.6,29,18,66,3.2,12.6,37,60.541666666666664
26.7,32,20,55,2.9,12.2,18.3,79.0
29.1,35,23,48,2.9,12,22.2,133.70833333333334
32.5,38,26,28,3.2,13.5,22.2,53.25
33.4,39,26,26,3.4,11.9,18.3,65.16666666666667
32.4,38,26,27,3.5,13.1,24.1,83.58333333333333
30.9,39,23,40,4.2,10.7,27.8,40.666666666666664
30.6,36,24,46,4.2,9.3,18.3,48.125
33.4,39,27,36,3.1,8.9,14.8,103.16666666666667
34.8,42,28,32,2.4,10.9,22.2,143.375
32,37,25,37,3.2,11.7,18.3,44.791666666666664
33.7,40,26,32,2.6,7.4,16.5,71.95833333333333
36.2,42,28,26,2.7,9.3,22.2,17.5
39.7,45,32,17,2.7,13.3,22.2,101.0
38.5,46,31,18,2.9,10.6,22.2,76.20833333333333
38.6,45,31,19,2.9,6.5,14.8,84.33333333333333
29.6,35,23,51,3.2,13.1,29.4,48.833333333333336
30.8,36,27,66,2.6,10.9,22.2,64.45833333333333
34.1,41,30,53,2.9,12,24.1,80.54166666666667
35.5,42,29,43,4,12.4,22.2,65.41666666666667
37.8,43,31,36,3.2,15,29.4,54.666666666666664
36.4,40,31,38,3.1,10.4,22.2,78.54166666666667
32.2,37,27,46,4.2,10.2,18.3,49.125
33.2,38,29,47,3.2,8.7,18.3,65.875
34.9,41,30,42,3.4,12.4,24.1,72.41666666666667
31.1,35,26,65,3.2,14.6,22.2,184.66666666666666
29.9,37,27,69,3.5,8.3,18.3,113.33333333333333
27.9,31,27,81,2.4,8,18.3,146.20833333333334
33.8,39,27,50,3.7,9.3,18.3,112.29166666666667
34.8,40,30,40,3.5,10.7,20.6,60.625
36.2,41,30,38,3.4,11.9,18.3,71.0
34.8,39,31,57,3.9,10.9,14.8,153.41666666666666
32.1,35,28,71,2.9,10.7,16.5,134.95833333333334
32.6,37,28,67,3.4,14.8,20.6,81.125
