T,TM,Tm,H,VV,V,VM,PM2.5
8.9,15.0,5.0,93.0,0.5,4.8,11.1,284.79583333333335
6.6,10.0,3.0,99.0,0.6,8.1,13.0,182.1875
7.8,14.0,3.0,79.0,1.6,11.7,18.3,223.20833333333331
13.4,29.0,7.0,55.0,2.4,11.9,22.2,200.64583333333337
15.2,21.0,10.0,88.0,0.6,8.9,18.3,285.225
13.7,28.0,6.0,89.0,0.3,5.2,13.0,236.825
14.1,21.0,6.0,83.0,1.0,4.8,14.8,276.90833333333336
11.8,18.0,7.0,81.0,2.1,8.9,22.2,108.0
10.6,17.0,6.0,86.0,1.8,11.1,20.6,107.625
11.1,19.0,5.0,77.0,1.9,8.1,16.5,125.89166666666668
13.2,20.0,6.0,65.0,2.3,8.9,20.6,181.01250000000005
13.6,20.0,6.0,71.0,2.6,8.1,20.6,152.55416666666667
13.6,21.0,7.0,68.0,2.3,7.0,20.6,152.32083333333338
14.7,21.0,10.0,81.0,0.8,3.9,13.0,319.7375
18.5,28.0,8.0,67.0,0.6,4.4,11.1,332.7083333333333
20.3,28.0,14.0,65.0,1.1,4.4,11.1,279.6
20.3,28.0,10.0,58.0,1.8,6.7,16.5,179.11666666666667
13.9,19.0,9.0,77.0,3.2,11.3,22.2,54.79166666666666
13.9,20.0,8.0,82.0,2.7,12.8,22.2,93.375
14.8,21.0,8.0,73.0,2.6,7.4,16.5,103.0
16.6,24.0,10.0,70.0,2.3,10.2,14.8,132.20833333333334
21.6,28.0,11.0,50.0,2.3,5.6,33.5,127.70833333333331
18.5,28.0,14.0,76.0,2.6,13.1,24.1,109.33333333333331
17.8,28.0,12.0,80.0,1.8,7.0,16.5,56.45833333333334
16.1,22.0,10.0,88.0,1.1,7.0,18.3,135.83333333333334
19.4,26.0,12.0,73.0,1.8,8.9,16.5,122.5
17.2,23.0,12.0,82.0,2.7,6.3,16.5,69.66666666666667
19.8,25.0,12.0,65.0,3.2,9.6,16.5,79.83333333333333
21.1,26.0,16.0,61.0,3.7,7.6,13.0,62.70833333333334
16.6,23.0,10.0,65.0,3.9,16.9,27.8,21.20833333333333
18.6,25.0,11.0,63.0,4.0,15.9,27.8,1.9166666666666667
20.1,27.0,12.0,68.0,2.6,9.3,22.2,1.8333333333333333
22.9,30.0,15.0,60.0,2.7,7.4,20.6,105.83333333333331
23.2,31.0,16.0,50.0,2.6,5.2,13.0,117.58333333333331
25.5,32.0,16.0,38.0,3.4,8.5,14.8,122.70833333333331
24.7,32.0,17.0,51.0,2.4,8.1,16.5,111.95833333333331
21.8,28.0,15.0,57.0,4.3,12.0,20.6,59.20833333333334
22.9,28.0,14.0,50.0,3.4,10.2,20.6,77.20833333333333
24.3,31.0,16.0,66.0,2.4,10.7,25.9,98.70833333333331
26.3,34.0,18.0,47.0,2.9,7.6,16.5,123.70833333333331
25.3,32.0,18.0,53.0,2.6,12.8,24.1,64.79166666666667
22.2,28.0,17.0,59.0,3.4,17.2,22.2,52.33333333333334
22.3,28.0,16.0,58.0,3.1,13.3,22.2,52.04166666666666
23.4,29.0,16.0,53.0,2.9,8.3,20.6,128.33333333333334
24.8,31.0,18.0,55.0,2.7,10.0,18.3,0.0
26.9,34.0,19.0,41.0,3.1,8.0,16.5,23.20833333333333
25.7,35.0,19.0,47.0,2.7,10.9,27.8,15.166666666666664
25.2,31.0,18.0,51.0,2.4,9.3,18.3,21.25
28.6,36.0,18.0,29.0,3.4,12.4,24.1,81.83333333333333
30.1,37.0,20.0,29.0,2.3,7.0,18.3,105.33333333333331
31.2,38.0,23.0,26.0,2.6,8.3,18.3,117.75
30.2,36.0,24.0,28.0,2.3,9.8,22.2,84.5
27.7,35.0,22.0,39.0,2.9,6.3,14.8,46.91666666666666
29.2,36.0,21.0,33.0,2.3,7.8,18.3,104.625
30.6,38.0,22.0,18.0,3.1,7.6,14.8,110.875
31.1,37.0,24.0,23.0,2.4,11.9,27.8,42.95833333333334
27.4,32.0,22.0,42.0,3.4,16.7,24.1,0.0
31.8,37.0,27.0,33.0,2.9,7.6,20.6,120.875
31.0,34.0,27.0,37.0,2.9,10.6,29.4,79.91666666666667
32.1,38.0,26.0,26.0,3.5,15.7,24.1,0.0
30.9,38.0,24.0,14.0,3.2,11.3,22.2,94.75
31.2,36.0,22.0,15.0,3.4,12.4,22.2,142.5
31.4,38.0,22.0,16.0,3.1,8.0,22.2,133.375
34.3,41.0,27.0,19.0,2.6,7.8,22.2,147.83333333333334
34.4,41.0,25.0,18.0,2.6,12.6,24.1,158.29166666666666
34.8,41.0,26.0,19.0,3.1,7.8,18.3,149.58333333333334
31.9,37.0,24.0,34.0,3.4,7.0,18.3,101.5
33.4,42.0,26.0,27.0,3.1,7.0,46.5,106.5
34.1,41.0,26.0,24.0,2.3,8.7,18.3,128.125
37.7,45.0,31.0,12.0,3.4,11.5,24.1,101.95833333333331
37.9,44.0,29.0,13.0,3.5,10.2,22.2,98.41666666666669
37.1,46.0,29.0,13.0,4.2,12.4,22.2,94.375
37.7,43.0,31.0,20.0,3.1,12.0,20.6,107.625
37.3,43.0,31.0,21.0,3.4,10.0,22.2,110.41666666666669
35.7,42.0,31.0,31.0,2.6,11.3,22.2,95.83333333333331
34.0,41.0,27.0,32.0,3.4,14.4,25.9,72.25
31.3,37.0,27.0,50.0,3.9,17.6,25.9,38.66666666666666
32.9,37.0,27.0,49.0,4.2,14.6,20.6,45.375
33.3,39.0,29.0,50.0,3.2,13.3,22.2,65.16666666666667
33.9,39.0,29.0,48.0,2.4,13.1,18.3,66.08333333333333
34.8,40.0,30.0,55.0,3.2,15.0,22.2,77.66666666666667
35.8,41.0,32.0,47.0,3.4,13.1,22.2,70.25
29.8,33.0,27.0,70.0,2.9,14.6,25.9,56.29166666666666
30.8,37.0,25.0,64.0,2.4,11.5,31.3,77.0
29.8,37.0,23.0,69.0,3.2,18.5,27.8,32.958333333333336
31.0,35.0,28.0,64.0,2.3,8.5,18.3,80.625
33.9,39.0,29.0,50.0,2.3,8.0,13.0,90.70833333333331
36.4,41.0,31.0,38.0,2.6,10.4,25.9,97.29166666666669
30.0,33.0,28.0,76.0,2.9,15.7,24.1,50.70833333333334
30.6,33.0,28.0,73.0,2.7,10.7,16.5,40.375
30.9,37.0,26.0,68.0,2.9,12.0,22.2,49.41666666666666
33.4,39.0,28.0,59.0,2.7,13.0,22.2,61.875
32.2,36.0,27.0,65.0,2.6,13.3,22.2,0.0
30.6,33.0,28.0,76.0,2.6,11.1,18.3,29.66666666666667
29.9,34.0,28.0,81.0,2.4,10.9,22.2,49.125
29.4,35.0,27.0,83.0,2.6,9.6,16.5,43.66666666666666
28.5,34.0,25.0,85.0,2.6,9.8,22.2,29.83333333333333
31.5,35.0,28.0,74.0,2.9,9.6,16.5,35.208333333333336
30.4,36.0,28.0,78.0,2.6,6.3,16.5,37.625
31.4,35.0,28.0,75.0,2.7,9.1,20.6,41.458333333333336
30.7,35.0,27.0,77.0,3.1,11.1,20.6,38.583333333333336
26.3,29.0,24.0,94.0,1.4,6.7,18.3,36.0
28.9,33.0,26.0,86.0,1.6,5.0,14.8,70.58333333333333
28.0,33.0,25.0,89.0,2.4,10.2,20.6,33.166666666666664
30.2,34.0,25.0,78.0,2.6,8.7,18.3,38.25
29.1,33.0,27.0,87.0,2.4,4.8,18.3,26.58333333333333
27.4,31.0,26.0,93.0,2.1,8.1,24.1,15.416666666666664
29.8,33.0,27.0,84.0,2.6,8.5,14.8,41.375
30.6,33.0,28.0,77.0,2.9,15.0,24.1,25.54166666666667
30.8,35.0,28.0,77.0,2.7,11.3,24.1,28.375
28.0,29.0,26.0,93.0,1.8,4.3,11.1,50.33333333333334
27.8,31.0,26.0,91.0,2.3,6.5,14.8,35.375
26.9,28.0,26.0,93.0,1.9,6.3,14.8,31.91666666666667
28.8,31.0,26.0,89.0,1.9,13.9,22.2,35.291666666666664
28.8,33.0,26.0,86.0,2.1,14.6,22.2,26.83333333333333
27.3,30.0,26.0,93.0,2.3,10.7,18.3,21.125
27.9,32.0,26.0,93.0,2.1,5.6,13.0,35.708333333333336
28.8,32.0,26.0,88.0,2.1,8.5,11.1,43.58333333333334
28.6,33.0,26.0,86.0,2.7,9.8,16.5,46.04166666666666
30.1,34.0,27.0,85.0,1.9,1.7,9.4,82.875
31.6,35.0,28.0,76.0,2.3,10.2,16.5,64.91666666666667
30.8,34.0,27.0,73.0,2.7,13.9,22.2,30.66666666666667
28.8,33.0,26.0,78.0,3.5,11.9,18.3,34.416666666666664
32.5,34.0,30.0,60.0,4.5,15.0,18.3,33.166666666666664
30.3,35.0,26.0,67.0,3.9,13.5,22.2,30.625
30.2,35.0,25.0,64.0,3.2,14.3,24.1,30.33333333333333
30.4,35.0,26.0,60.0,3.1,8.9,18.3,0.0
29.4,34.0,27.0,66.0,2.4,9.4,20.6,0.0
29.5,34.0,25.0,67.0,1.9,7.4,18.3,0.0
30.7,35.0,27.0,69.0,2.1,3.3,9.4,76.875
31.3,36.0,27.0,66.0,2.4,5.4,16.5,83.45833333333333
31.3,36.0,25.0,59.0,2.3,7.6,20.6,71.66666666666667
30.1,35.0,25.0,63.0,2.3,5.0,13.0,69.70833333333333
28.8,33.0,26.0,74.0,2.7,12.8,27.8,62.375
26.3,33.0,24.0,85.0,2.3,13.5,24.1,24.875
28.6,34.0,25.0,76.0,2.9,9.1,18.3,43.95833333333334
27.9,33.0,25.0,80.0,3.2,6.9,20.6,41.5
28.2,34.0,25.0,79.0,2.6,7.4,16.5,38.79166666666666
28.3,32.0,25.0,71.0,3.4,11.7,16.5,30.33333333333333
28.7,33.0,25.0,66.0,3.7,13.1,22.2,26.66666666666667
27.3,33.0,23.0,66.0,3.5,13.1,24.1,29.0
29.8,33.0,26.0,68.0,2.1,7.0,11.1,61.70833333333334
29.9,34.0,26.0,67.0,2.9,8.1,13.0,60.54166666666666
29.4,34.0,25.0,66.0,2.6,8.7,16.5,41.583333333333336
27.2,31.0,24.0,76.0,2.3,2.8,11.1,80.04166666666667
27.6,32.0,23.0,74.0,2.4,6.9,18.3,82.83333333333333
26.2,33.0,22.0,72.0,2.6,4.6,14.8,95.25
24.9,32.0,19.0,64.0,2.7,5.2,16.5,126.16666666666669
25.3,31.0,19.0,58.0,2.3,3.5,11.1,136.70833333333334
24.6,31.0,19.0,57.0,2.1,3.9,14.8,160.66666666666666
23.9,30.0,19.0,68.0,1.1,3.7,11.1,245.66666666666663
24.0,30.0,19.0,67.0,1.1,2.4,9.4,261.6666666666667
22.6,30.0,18.0,63.0,1.4,4.3,14.8,272.4166666666667
24.9,30.0,20.0,51.0,2.6,7.8,14.8,149.625
20.1,24.0,17.0,74.0,1.4,0.7,9.4,99.70833333333331
21.4,27.0,15.0,58.0,1.3,7.8,16.5,217.375
19.8,28.0,14.0,52.0,1.6,6.7,20.6,309.375
20.6,26.0,16.0,66.0,1.0,7.6,14.8,321.5416666666667
19.0,25.0,14.0,70.0,1.3,4.4,11.1,278.0
19.6,25.0,14.0,68.0,1.6,3.9,11.1,192.33333333333331
17.8,25.0,11.0,51.0,1.8,5.4,16.5,224.16666666666663
16.8,25.0,10.0,53.0,1.9,5.6,14.8,196.75
17.6,25.0,9.0,50.0,1.8,3.7,11.1,221.54166666666663
17.8,26.0,10.0,49.0,2.1,5.7,18.3,166.70833333333334
17.9,27.0,11.0,53.0,2.1,3.0,11.1,130.70833333333334
19.6,27.0,10.0,50.0,1.9,5.0,13.0,194.70833333333331
18.9,28.0,13.0,55.0,2.4,11.3,22.2,134.45833333333334
19.3,28.0,14.0,54.0,2.3,10.6,22.2,110.0
19.8,27.0,13.0,54.0,1.8,5.4,13.0,160.0
19.1,27.0,10.0,45.0,2.4,3.9,11.1,118.91666666666669
18.6,27.0,12.0,46.0,2.4,6.3,14.8,176.375
18.4,26.0,11.0,47.0,2.1,5.2,14.8,185.95833333333331
16.1,25.0,9.0,64.0,1.3,2.8,11.1,239.125
16.9,26.0,11.0,65.0,0.8,1.7,9.4,365.29166666666674
15.9,24.0,10.0,69.0,1.0,3.5,13.0,312.2083333333333
15.6,24.0,10.0,63.0,2.1,8.1,22.2,121.33333333333331
15.7,23.0,10.0,67.0,1.6,6.5,11.1,202.875
16.5,24.0,11.0,68.0,1.1,6.1,13.0,260.1666666666667
16.5,22.0,12.0,85.0,0.8,7.6,14.8,277.7083333333333
14.6,18.0,13.0,95.0,0.6,9.6,13.0,284.1666666666667
13.7,16.0,0.0,99.0,0.6,5.7,11.1,288.4166666666667
11.7,20.0,6.0,62.0,1.4,9.8,22.2,166.91666666666666
12.3,19.0,5.0,53.0,1.8,6.1,18.3,169.0
12.1,16.0,9.0,65.0,1.6,4.3,16.5,186.04166666666663
14.1,16.0,12.0,83.0,2.3,6.3,18.3,nan
11.0,18.0,5.0,90.0,0.6,10.0,14.8,255.875
9.4,17.0,4.0,77.0,1.4,9.4,18.3,217.08333333333331
11.9,18.0,4.0,66.0,1.6,5.0,14.8,229.16666666666663
10.9,18.0,4.0,70.0,1.3,5.4,14.8,298.4583333333333
11.4,20.0,3.0,69.0,1.3,4.1,11.1,264.9166666666667
11.5,18.0,5.0,82.0,0.5,3.7,11.1,404.5
14.0,20.0,8.0,64.0,1.3,5.2,11.1,188.5
13.9,21.0,7.0,69.0,1.1,7.4,13.0,164.75
11.7,16.0,9.0,94.0,0.3,3.9,9.4,376.91666666666674
13.3,20.0,9.0,86.0,1.8,8.9,14.8,0.0
13.1,20.0,8.0,86.0,1.3,7.4,13.0,0.0
13.2,14.0,12.0,97.0,1.8,13.0,22.2,57.0
10.7,14.0,9.0,100.0,0.5,10.2,14.8,202.91666666666663
13.0,20.0,9.0,89.0,0.8,7.6,14.8,205.125
14.7,22.0,8.0,82.0,1.1,9.6,22.2,214.125
13.2,17.0,11.0,98.0,0.5,6.5,13.0,315.7916666666667
13.1,20.0,9.0,86.0,1.0,4.8,9.4,322.25
15.5,22.0,9.0,78.0,1.1,4.6,13.0,246.04166666666663
17.9,26.0,7.0,70.0,1.6,3.3,11.1,200.91666666666663
18.9,25.0,14.0,74.0,2.7,15.6,27.8,99.5
12.6,17.0,7.0,95.0,1.3,10.4,18.3,143.91666666666666
12.4,19.0,6.0,62.0,2.9,11.3,24.1,100.25
14.9,22.0,6.0,62.0,2.1,9.1,18.3,165.0
12.4,14.0,10.0,96.0,1.4,10.4,18.3,116.45833333333331
12.1,17.0,9.0,90.0,1.1,5.2,11.1,143.0
16.9,22.0,8.0,56.0,1.9,5.6,13.0,231.125
16.8,24.0,11.0,67.0,1.4,4.8,13.0,218.66666666666663
17.2,24.0,11.0,66.0,2.3,12.2,18.3,211.0
17.7,24.0,10.0,63.0,2.1,3.9,13.0,52.20833333333334
18.9,25.0,14.0,58.0,2.1,6.9,14.8,187.5
19.1,24.0,13.0,70.0,3.1,11.7,18.3,130.16666666666666
15.4,19.0,11.0,87.0,2.1,8.1,14.8,123.125
